STCOFIPS10,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM
01001,2010,0.45932289958,0.523511946201,0.2284236103296
01001,2012,0.60800909996,0.647430717945,0.2444946020842
01001,2014,0.824235022068,0.980000019073,0.1833709478378
01001,2016,0.613092780113,0.658496320248,0.1853959113359
01001,2018,0.441671282053,0.499698251486,NA
01001,2020,0.618135333061,0.636525928974,0.2868102788925
01001,2022,0.397021889687,0.410779982805,0.2544515430927
01003,2010,0.426419377327,0.508003354073,0.2092278748751
01003,2012,0.627061963081,0.677750349045,0.2109385430813
01003,2014,0.794703125954,0.980000019073,0.1582038998604
01003,2016,0.619333863258,0.655403733253,0.1534391790628
01003,2018,0.425292342901,0.504515647888,NA
01003,2020,0.598910987377,0.62384814024,0.2461901456118
01003,2022,0.400007605553,0.389418512583,0.2039499729872
01005,2010,0.406173735857,0.51592707634,0.464857250452
01005,2012,0.551998078823,0.666012227535,0.4972684979439
01005,2014,0.800542652607,0.980000019073,0.3729513585567
01005,2016,0.520177602768,0.616536080837,0.3681823313236
01005,2018,0.428622126579,0.488079428673,NA
01005,2020,0.535334050655,0.591596662998,0.4704758524895
01005,2022,0.333924770355,0.381412863731,0.4373672306538
01007,2010,0.375879973173,0.532232999802,0.2566569745541
01007,2012,0.487824589014,0.659489810467,0.2585469782352
01007,2014,0.68357872963,0.980000019073,0.193910241127
01007,2016,0.501302361488,0.655292391777,0.1843067407608
01007,2018,0.391765505075,0.482308328152,NA
01007,2020,0.549156010151,0.641401350498,0.2217203527689
01007,2022,0.336906939745,0.400786906481,0.196561858058
01009,2010,0.410801023245,0.533381462097,0.1549153923988
01009,2012,0.58598524332,0.714294135571,0.1398778557777
01009,2014,0.797153949738,0.980000019073,0.1049083918333
01009,2016,0.605433404446,0.682432770729,0.0934334769845
01009,2018,0.429811269045,0.492906987667,NA
01009,2020,0.607848286629,0.65983736515,0.10818208009
01009,2022,0.366510659456,0.399124264717,0.089328661561
01011,2010,0.488722741604,0.512679755688,0.6945158243179
01011,2012,0.664797484875,0.682486891747,0.732784986496
01011,2014,0.881364166737,0.980000019073,0.549588739872
01011,2016,0.577588319778,0.638739228249,0.5543279647827
01011,2018,0.454556614161,0.495985001326,NA
01011,2020,0.56825709343,0.621295452118,0.7547305822372
01011,2022,0.328468054533,0.374493092299,0.7270973324776
01013,2010,0.459392011166,0.556520402431,0.4093850255013
01013,2012,0.606079995632,0.70210558176,0.4353041052818
01013,2014,0.855433404446,0.980000019073,0.3264780640602
01013,2016,0.567529082298,0.635566830635,0.3260747790337
01013,2018,0.558757722378,0.585268855095,NA
01013,2020,0.64602971077,0.650484800339,0.4328297972679
01013,2022,0.405370593071,0.417545586824,0.3913462758064
01015,2010,0.383628815413,0.516169428825,0.3110525012016
01015,2012,0.521039068699,0.662477016449,0.3225926756859
01015,2014,0.758782625198,0.980000019073,0.2419445067644
01015,2016,0.543938457966,0.645896315575,0.2326329946518
01015,2018,0.404147952795,0.48583394289,NA
01015,2020,0.558533489704,0.626160085201,0.3168170154095
01015,2022,0.330450087786,0.377194076777,0.2837787568569
01017,2010,0.401720196009,0.45313039422,0.4370836317539
01017,2012,0.561238527298,0.600171685219,0.4636168479919
01017,2014,0.827989339828,0.980000019073,0.347712635994
01017,2016,0.529474496841,0.578850984573,0.3390479683876
01017,2018,0.417271435261,0.469569504261,NA
01017,2020,0.56066519022,0.589561700821,0.4374488890171
01017,2022,0.336603343487,0.357115209103,0.3868308067322
01019,2010,0.355913192034,0.506032466888,0.2906887829304
01019,2012,0.483540594578,0.646223008633,0.2586232721806
01019,2014,0.718816697598,0.980000019073,0.193967461586
01019,2016,0.526673138142,0.639952838421,0.1704034954309
01019,2018,0.42319226265,0.481137871742,NA
01019,2020,0.606646001339,0.633879482746,0.1528360396624
01019,2022,0.387455135584,0.392647206783,0.1257823109627
01021,2010,0.440312564373,0.520981132984,0.207134604454
01021,2012,0.561888039112,0.630971968174,0.2027775645256
01021,2014,0.828985035419,0.980000019073,0.1520831733942
01021,2016,0.58095985651,0.645928800106,0.1429667174816
01021,2018,0.402207046747,0.482679307461,NA
01021,2020,0.562392890453,0.648277699947,0.1712880581617
01021,2022,0.356497734785,0.408872902393,0.145298063755
01023,2010,0.647080779076,0.640617787838,0.458988070488
01023,2012,0.747034072876,0.727793931961,0.4697115123272
01023,2014,0.980000019073,0.980000019073,0.3522836267948
01023,2016,0.701482534409,0.667333960533,0.3437304198742
01023,2018,0.614315271378,0.572386562824,NA
01023,2020,0.740905046463,0.681138396263,0.4281523823738
01023,2022,0.484373450279,0.457576602697,0.4003622531891
01025,2010,0.563269555569,0.601513743401,0.4167439937592
01025,2012,0.720382809639,0.723865449429,0.4394242763519
01025,2014,0.980000019073,0.980000019073,0.3295682072639
01025,2016,0.686402916908,0.675257742405,0.3313764333725
01025,2018,0.634265720844,0.583665966988,NA
01025,2020,0.733192443848,0.670105695724,0.4500519931316
01025,2022,0.505866646767,0.477282255888,0.4266217947006
01027,2010,0.516427874565,0.536036491394,0.2660317420959
01027,2012,0.646036267281,0.644927561283,0.2675189971924
01027,2014,0.941723108292,0.980000019073,0.2006392478943
01027,2016,0.642884790897,0.650823235512,0.1845791339874
01027,2018,0.481635540724,0.540578126907,NA
01027,2020,0.619169831276,0.668322503567,0.1967353820801
01027,2022,0.376405000687,0.410402387381,0.1594613343477
01029,2010,0.471714913845,0.569048881531,0.2114226669073
01029,2012,0.570690393448,0.641562342644,0.1883985847235
