county_fips,year,state,county_name,dem_votes,rep_votes,seat_status,total_votes,two_party_total,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
01015,2010,AL,CALHOUN,12568,21250,Republican Open Seat,33942,33818,0.37163640664734754,0.6283635933526525,REPUBLICAN,0.6283635933526525
01015,2014,AL,CALHOUN,9095,17702,Republican Incumbent,26829,26797,0.3394036645893197,0.6605963354106803,REPUBLICAN,0.6605963354106803
01015,2018,AL,CALHOUN,12487,24460,Republican Open Seat,37039,36947,0.3379706065445097,0.6620293934554903,REPUBLICAN,0.6620293934554903
01017,2002,AL,CHAMBERS,4767,4837,Democratic Incumbent,9724,9604,0.4963556851311953,0.5036443148688047,DEMOCRAT,0.4963556851311953
01017,2006,AL,CHAMBERS,4414,4789,Republican Incumbent,9203,9203,0.4796262088449419,0.5203737911550581,REPUBLICAN,0.5203737911550581
01017,2010,AL,CHAMBERS,5296,5067,Republican Open Seat,10378,10363,0.5110489240567403,0.48895107594325965,REPUBLICAN,0.48895107594325965
01017,2014,AL,CHAMBERS,3640,4605,Republican Incumbent,8251,8245,0.4414796846573681,0.5585203153426319,REPUBLICAN,0.5585203153426319
01017,2018,AL,CHAMBERS,4625,6687,Republican Open Seat,11332,11312,0.40885785007072134,0.5911421499292786,REPUBLICAN,0.5911421499292786
01019,2002,AL,CHEROKEE,3500,2489,Democratic Incumbent,6096,5989,0.5844047420270496,0.4155952579729504,DEMOCRAT,0.5844047420270496
01019,2006,AL,CHEROKEE,3337,3700,Republican Incumbent,7072,7037,0.4742077589882052,0.5257922410117948,REPUBLICAN,0.5257922410117948
01019,2010,AL,CHEROKEE,2901,4315,Republican Open Seat,7230,7216,0.40202328159645234,0.5979767184035477,REPUBLICAN,0.5979767184035477
01019,2014,AL,CHEROKEE,1869,5010,Republican Incumbent,6883,6879,0.27169646750981247,0.7283035324901875,REPUBLICAN,0.7283035324901875
01019,2018,AL,CHEROKEE,1552,6974,Republican Open Seat,8541,8526,0.18203143326296037,0.8179685667370397,REPUBLICAN,0.8179685667370397
01021,2002,AL,CHILTON,5679,7787,Democratic Incumbent,13698,13466,0.4217287984553691,0.578271201544631,DEMOCRAT,0.4217287984553691
01021,2006,AL,CHILTON,4103,7955,Republican Incumbent,12163,12058,0.34027201857687844,0.6597279814231216,REPUBLICAN,0.6597279814231216
01021,2010,AL,CHILTON,4034,9529,Republican Open Seat,13646,13563,0.29742682297426826,0.7025731770257317,REPUBLICAN,0.7025731770257317
01021,2014,AL,CHILTON,2424,9036,Republican Incumbent,11476,11460,0.21151832460732983,0.7884816753926701,REPUBLICAN,0.7884816753926701
01021,2018,AL,CHILTON,2501,11291,Republican Open Seat,13802,13792,0.18133700696055685,0.8186629930394431,REPUBLICAN,0.8186629930394431
01023,2002,AL,CHOCTAW,2780,2287,Democratic Incumbent,5104,5067,0.5486481152555753,0.4513518847444247,DEMOCRAT,0.5486481152555753
01023,2006,AL,CHOCTAW,2775,2134,Republican Incumbent,4915,4909,0.565288246078631,0.4347117539213689,REPUBLICAN,0.4347117539213689
01023,2010,AL,CHOCTAW,3701,2962,Republican Open Seat,6672,6663,0.5554555005252889,0.4445444994747111,REPUBLICAN,0.4445444994747111
01023,2014,AL,CHOCTAW,1949,2381,Republican Incumbent,4332,4330,0.4501154734411085,0.5498845265588914,REPUBLICAN,0.5498845265588914
01023,2018,AL,CHOCTAW,2649,3475,Republican Open Seat,6131,6124,0.43256041802743306,0.5674395819725669,REPUBLICAN,0.5674395819725669
01025,2002,AL,CLARKE,4245,4563,Democratic Incumbent,8895,8808,0.4819482288828338,0.5180517711171662,DEMOCRAT,0.4819482288828338
01025,2006,AL,CLARKE,4134,4904,Republican Incumbent,9057,9038,0.4574020801062182,0.5425979198937818,REPUBLICAN,0.5425979198937818
01025,2010,AL,CLARKE,5313,5369,Republican Open Seat,10715,10682,0.49737876802096986,0.5026212319790302,REPUBLICAN,0.5026212319790302
01025,2014,AL,CLARKE,3530,5000,Republican Incumbent,8530,8530,0.4138335287221571,0.5861664712778429,REPUBLICAN,0.5861664712778429
01025,2018,AL,CLARKE,4889,6344,Republican Open Seat,11240,11233,0.435235466927802,0.564764533072198,REPUBLICAN,0.564764533072198
01027,2002,AL,CLAY,2094,3176,Democratic Incumbent,5350,5270,0.39734345351043643,0.6026565464895636,DEMOCRAT,0.39734345351043643
01027,2006,AL,CLAY,1904,2893,Republican Incumbent,4850,4797,0.396914738378153,0.603085261621847,REPUBLICAN,0.603085261621847
01027,2010,AL,CLAY,2069,3248,Republican Open Seat,5327,5317,0.3891292082001128,0.6108707917998871,REPUBLICAN,0.6108707917998871
