GEOID,NAME,year,percent_car,percent_pt
06001,"Alameda County, California",2010,0.777269014969027,0.10812225245970274
06007,"Butte County, California",2010,0.8704176915912402,0.011582642753086715
06013,"Contra Costa County, California",2010,0.8182959122941699,0.08830747069428031
06017,"El Dorado County, California",2010,0.8855619840083209,0.02054215692647728
06019,"Fresno County, California",2010,0.8742191306152689,0.013796920628789035
06023,"Humboldt County, California",2010,0.830188046793819,0.01096101632420474
06025,"Imperial County, California",2010,0.932816058961871,0.008851687931704969
06029,"Kern County, California",2010,0.9083181481739638,0.009871183380299456
06031,"Kings County, California",2010,0.9209071297790186,0.019433315809509997
06037,"Los Angeles County, California",2010,0.8278522159713543,0.07208998074936022
06041,"Marin County, California",2010,0.7729032258064517,0.0707541123691519
06047,"Merced County, California",2010,0.9049387017398689,0.0016658319360668946
06053,"Monterey County, California",2010,0.8403557581648957,0.01648621772310305
06055,"Napa County, California",2010,0.8883216441037352,0.01166204534333714
06059,"Orange County, California",2010,0.887100995184406,0.028915851485874593
06061,"Placer County, California",2010,0.8783183624403113,0.008274618492670385
06065,"Riverside County, California",2010,0.9070408659766566,0.014848231824161565
06067,"Sacramento County, California",2010,0.874306816868563,0.033828199250370415
06071,"San Bernardino County, California",2010,0.911180222714415,0.018680593564095613
06073,"San Diego County, California",2010,0.8626880176220967,0.03276428645985178
06075,"San Francisco County, California",2010,0.4395839329030136,0.3405030446719383
06077,"San Joaquin County, California",2010,0.9085829576423944,0.00927855609557734
06079,"San Luis Obispo County, California",2010,0.8848628307841709,0.006823778309575834
06081,"San Mateo County, California",2010,0.8164305724104297,0.08061040478161755
06083,"Santa Barbara County, California",2010,0.798680157416441,0.03895947293993839
06085,"Santa Clara County, California",2010,0.8768177645648809,0.029605967460506918
06087,"Santa Cruz County, California",2010,0.8101387565247042,0.028372080823271226
06089,"Shasta County, California",2010,0.8902936052551664,0.005993574887720364
06095,"Solano County, California",2010,0.9094725999406598,0.024603792174930444
06097,"Sonoma County, California",2010,0.8677944433029701,0.01861516334497637
06099,"Stanislaus County, California",2010,0.91503794331733,0.00859016054927469
06101,"Sutter County, California",2010,0.9078146284506964,0.008951655500264102
06107,"Tulare County, California",2010,0.9051992181626823,0.00961659900766802
06111,"Ventura County, California",2010,0.8870817416873417,0.014245395712729229
06113,"Yolo County, California",2010,0.7994299376936033,0.036158910756981494
08001,"Adams County, Colorado",2010,0.8929005765604305,0.044677278792325
08005,"Arapahoe County, Colorado",2010,0.8849717364114675,0.04117959431793568
08013,"Boulder County, Colorado",2010,0.7493616289377241,0.04435521215088049
08031,"Denver County, Colorado",2010,0.8038542365906232,0.06233365828647374
08035,"Douglas County, Colorado",2010,0.8689357940103879,0.022606089070615537
08041,"El Paso County, Colorado",2010,0.8672910120699999,0.008941493887041612
08059,"Jefferson County, Colorado",2010,0.8718245799540302,0.026419494782468494
08069,"Larimer County, Colorado",2010,0.8844234003606914,0.007180055251977386
08101,"Pueblo County, Colorado",2010,0.923221767170362,0.00872444256147123
12001,"Alachua County, Florida",2010,0.8395142405924958,0.043901686362068655
12009,"Brevard County, Florida",2010,0.9117695319949088,0.004873851939562462
12011,"Broward County, Florida",2010,0.8958717613611729,0.027774715235151657
12021,"Collier County, Florida",2010,0.8715661030292097,0.01563806930936644
12031,"Duval County, Florida",2010,0.9135449959858825,0.013887836971285174
12057,"Hillsborough County, Florida",2010,0.8927460409794308,0.018453750907783634
12071,"Lee County, Florida",2010,0.8755231821747724,0.015760109742254714
12073,"Leon County, Florida",2010,0.9116395932224952,0.009501546486018017
12081,"Manatee County, Florida",2010,0.9135655222650028,0.009917791990522465
12086,"Miami-Dade County, Florida",2010,0.8645944394324613,0.050025876916376555
12087,"Monroe County, Florida",2010,0.7333209094297428,0.024972046216921357
12095,"Orange County, Florida",2010,0.9074527797576621,0.021460709194583035
12097,"Osceola County, Florida",2010,0.9232832245521455,0.017063602277461464
12099,"Palm Beach County, Florida",2010,0.8963797620733607,0.016072440164282678
12101,"Pasco County, Florida",2010,0.918164546094066,0.008081624966072684
12103,"Pinellas County, Florida",2010,0.8902002222486805,0.01740534587450887
12105,"Polk County, Florida",2010,0.9332027205272633,0.008090260323352624
12109,"St. Johns County, Florida",2010,0.8923241061799121,7.189989678885783e-4
12111,"St. Lucie County, Florida",2010,0.918292694483667,0.005866019730295765
12115,"Sarasota County, Florida",2010,0.87894920457717,0.013864080379570192
12117,"Seminole County, Florida",2010,0.9121580655515532,0.007122732112924345
12127,"Volusia County, Florida",2010,0.8965366552239749,0.009471810963923931
25001,"Barnstable County, Massachusetts",2010,0.8915984896161108,0.015775120620935598
25005,"Bristol County, Massachusetts",2010,0.9179148033505476,0.021260923292424235
25009,"Essex County, Massachusetts",2010,0.8613042365036535,0.048633835193620904
25013,"Hampden County, Massachusetts",2010,0.918209419052779,0.016570745121290493
25017,"Middlesex County, Massachusetts",2010,0.7814725273018593,0.10216033484413543
25021,"Norfolk County, Massachusetts",2010,0.787731420179599,0.12436803331969087
25023,"Plymouth County, Massachusetts",2010,0.8894779999227239,0.054144789658740144
25025,"Suffolk County, Massachusetts",2010,0.47813169097104014,0.32167023518455473
25027,"Worcester County, Massachusetts",2010,0.9068284011293527,0.017774166995122763
27003,"Anoka County, Minnesota",2010,0.9117549236215048,0.027914380063193404
27037,"Dakota County, Minnesota",2010,0.8946364649961857,0.03063689533086869
27053,"Hennepin County, Minnesota",2010,0.8117964010979701,0.08135484089599783
27109,"Olmsted County, Minnesota",2010,0.8668832019278623,0.03456269481625062
