GEOID,NAME,year,percent_car,percent_pt
01073,"Jefferson County, Alabama",2008,0.9427355730874922,0.013549494889801601
01081,"Lee County, Alabama",2008,0.9051885876948955,0.00904121110176619
01089,"Madison County, Alabama",2008,0.9492015575652262,0.0036909729709161477
01097,"Mobile County, Alabama",2008,0.9483517547306262,0.005181907739264625
01117,"Shelby County, Alabama",2008,0.9394447054977834,0.0016446360348948863
01125,"Tuscaloosa County, Alabama",2008,0.9499111811654032,0.003677850334008857
02020,"Anchorage Municipality, Alaska",2008,0.8970054107631417,0.016897602835049798
02170,"Matanuska-Susitna Borough, Alaska",2008,0.8414793047046103,0.008760500124753958
04013,"Maricopa County, Arizona",2008,0.885094044039661,0.027371534771482228
04019,"Pima County, Arizona",2008,0.8762049609926362,0.029617147921613254
04021,"Pinal County, Arizona",2008,0.9009672891492738,0.0032268399853533506
04025,"Yavapai County, Arizona",2008,0.8550788139027944,0.0021360265524531445
04027,"Yuma County, Arizona",2008,0.8914910112195193,0.02258531661863874
05119,"Pulaski County, Arkansas",2008,0.9280506117758033,0.013016160422415336
06001,"Alameda County, California",2008,0.7665754136778867,0.11642511874766802
06007,"Butte County, California",2008,0.8663427160931118,0.010426928483667799
06013,"Contra Costa County, California",2008,0.8242510722398537,0.09550520333603955
06017,"El Dorado County, California",2008,0.870516408038667,0.022224277884415253
06019,"Fresno County, California",2008,0.8977143703411167,0.014593035055097552
06025,"Imperial County, California",2008,0.8900447886368908,0.006852126121946432
06029,"Kern County, California",2008,0.9312756201597483,0.009192881032928101
06031,"Kings County, California",2008,0.8681155926015224,0.03227361967416388
06037,"Los Angeles County, California",2008,0.8314420242319472,0.07290773654754347
06041,"Marin County, California",2008,0.786472676210165,0.0795490892070055
06047,"Merced County, California",2008,0.874723489746412,0.006198104235015015
06053,"Monterey County, California",2008,0.8324412652360229,0.029641116280103824
06059,"Orange County, California",2008,0.8795189413606858,0.033422728271824124
06061,"Placer County, California",2008,0.8914753465477928,0.010091809528405458
06065,"Riverside County, California",2008,0.8997638910035428,0.01608336306473568
06067,"Sacramento County, California",2008,0.8704501214997264,0.032545705525374995
06071,"San Bernardino County, California",2008,0.90733537912864215,0.020019624539165344
06073,"San Diego County, California",2008,0.8558385513266334,0.034149791678677544
06075,"San Francisco County, California",2008,0.46714435077941696,0.31856170864280053
06077,"San Joaquin County, California",2008,0.8978782463490017,0.015142304706382106
06079,"San Luis Obispo County, California",2008,0.8473501337912855,0.011581932185790168
06081,"San Mateo County, California",2008,0.8267286835351816,0.07463753964302709
06083,"Santa Barbara County, California",2008,0.8130590852492667,0.03515106047107735
06085,"Santa Clara County, California",2008,0.8598053503797182,0.03687386376375763
06087,"Santa Cruz County, California",2008,0.8220014194464159,0.025029571800331205
06089,"Shasta County, California",2008,0.8992174338351177,0.004469865768164774
06095,"Solano County, California",2008,0.8933949933598241,0.03311689334250185
06097,"Sonoma County, California",2008,0.8459589726267652,0.02348875579748743
06099,"Stanislaus County, California",2008,0.899382133760966,0.00827280445241015
06107,"Tulare County, California",2008,0.923749716995746,0.007364068588315201
06111,"Ventura County, California",2008,0.9045512491950216,0.010616514870743471
06113,"Yolo County, California",2008,0.8076436179500611,0.04155753448576916
08001,"Adams County, Colorado",2008,0.9014661925611751,0.03888518176582967
08005,"Arapahoe County, Colorado",2008,0.8634591721727621,0.04798144299338579
08013,"Boulder County, Colorado",2008,0.7554057936616991,0.05476371903613856
08031,"Denver County, Colorado",2008,0.7838569774515768,0.09094596097363136
08035,"Douglas County, Colorado",2008,0.8426290824613513,0.016682520885506657
08041,"El Paso County, Colorado",2008,0.8742517978623274,0.016640484476585084
08059,"Jefferson County, Colorado",2008,0.8665119377055709,0.03576848335862557
08069,"Larimer County, Colorado",2008,0.8340895652844547,0.009794596262114708
08101,"Pueblo County, Colorado",2008,0.912721407449446,0.009647838943815526
08123,"Weld County, Colorado",2008,0.8981846254247945,0.004862752588560195
09001,"Fairfield County, Connecticut",2008,0.8025228622782858,0.09272169094937091
09003,"Hartford County, Connecticut",2008,0.8977125543528541,0.03093024331575539
09005,"Litchfield County, Connecticut",2008,0.9233701755422897,0.009417420257304411
09007,"Middlesex County, Connecticut",2008,0.8892548814421957,0.015696720336766
09009,"New Haven County, Connecticut",2008,0.8891304450122582,0.03956030511361765
09011,"New London County, Connecticut",2008,0.9047107486334006,0.01922008828086176
09015,"Windham County, Connecticut",2008,0.918189730200174,0.0061096605744125326
10001,"Kent County, Delaware",2008,0.9377114507695805,0.010082775036439737
10003,"New Castle County, Delaware",2008,0.8706631121174684,0.057406989508470105
10005,"Sussex County, Delaware",2008,0.9156643025415384,0.001620402109015668
11001,"District of Columbia, District of Columbia",2008,0.43815632083638983,0.3574086189919176
12001,"Alachua County, Florida",2008,0.8345110052381718,0.03570249892105508
12009,"Brevard County, Florida",2008,0.9140712426600948,0.0034074763299845345
12011,"Broward County, Florida",2008,0.8970719362353804,0.02921796099856908
12019,"Clay County, Florida",2008,0.9227453291426576,0.0028483499214248297
12021,"Collier County, Florida",2008,0.8717858003131398,0.010500722630374564
12031,"Duval County, Florida",2008,0.9170132609646032,0.01660547017776047
12033,"Escambia County, Florida",2008,0.8669718683651805,0.008079735786742157
12057,"Hillsborough County, Florida",2008,0.892913221532999,0.016633895164199372
12061,"Indian River County, Florida",2008,0.9194688443590447,0.0011151523469667857
12069,"Lake County, Florida",2008,0.9222692746075193,0.002396066457565497
12071,"Lee County, Florida",2008,0.9140584729381444,0.007301063144329897
12073,"Leon County, Florida",2008,0.9173420834364041,0.01264496602301995
12081,"Manatee County, Florida",2008,0.9123048599781474,0.005380850458756792
12086,"Miami-Dade County, Florida",2008,0.8675685578145661,0.05494147713772145
12091,"Okaloosa County, Florida",2008,0.9190548069879465,0.0035960842638016383
12095,"Orange County, Florida",2008,0.9003661917373179,0.02501966098640905
12099,"Palm Beach County, Florida",2008,0.9019222262220097,0.0149830844808843
12103,"Pinellas County, Florida",2008,0.8873246812602954,0.016034582900888376
12105,"Polk County, Florida",2008,0.9115510581978212,0.0035116913627075506
12109,"St. Johns County, Florida",2008,0.8783270390620597,0.0049264415760103715
12111,"St. Lucie County, Florida",2008,0.9435265929289833,0.0020709701984602384
12115,"Sarasota County, Florida",2008,0.8925731274954121,0.0069328878043004956
12117,"Seminole County, Florida",2008,0.9097840670565521,0.003739908091758645
12127,"Volusia County, Florida",2008,0.90725124939068,0.007175169812352226
13051,"Chatham County, Georgia",2008,0.9022216786210391,0.025073604570909378
