year,state,gas_price
2000,AK,3.7564872389791173
2000,AL,3.333262180974477
2000,AR,3.321587006960557
2000,AZ,3.5609280742459393
2000,CA,3.6630858468677494
2000,CO,3.6251415313225053
2000,CT,3.8586450116009274
2000,DC,3.528821345707656
2000,DE,3.598872389791183
2000,FL,3.2223480278422265
2000,GA,3.029707656612529
2000,HI,3.925777262180974
2000,IA,3.426663573085847
2000,ID,3.7214617169373545
2000,IL,3.593034802784223
2000,IN,3.3624501160092803
2000,KS,3.350774941995359
2000,KY,3.397475638051044
2000,LA,3.3624501160092803
2000,MA,3.6922737819025517
2000,MD,3.5054709976798133
2000,ME,3.622222737819025
2000,MI,3.473364269141531
2000,MN,3.590116009280742
2000,MO,3.336180974477958
2000,MS,3.4237447795823663
2000,MT,3.791512761020881
2000,NC,3.417907192575406
2000,ND,3.6309791183294657
2000,NE,3.531740139211136
2000,NH,3.619303944315545
2000,NJ,3.435419953596287
2000,NM,3.5200649651972156
2000,NV,3.9432900232018557
2000,NY,3.590116009280742
2000,OH,3.5404965197215774
2000,OK,3.2486171693735497
2000,OR,3.841132250580046
2000,PA,3.537577726218097
2000,RI,3.750649651972157
2000,SC,3.25153596287703
2000,SD,3.683517401392111
2000,TN,3.3245058004640367
2000,TX,3.3128306264501153
2000,UT,3.607628770301624
2000,VA,3.391638051044083
2000,VT,3.607628770301624
2000,WA,3.7739999999999996
2000,WI,3.6426542923433876
2000,WV,3.4587703016241296
2000,WY,3.476283062645011
2002,AK,3.456741228070175
2002,AL,2.841535087719298
2002,AR,2.9049868421052625
2002,AZ,2.9601622807017542
2002,CA,3.087065789473684
2002,CO,3.1477587719298246
2002,CT,3.1505175438596487
2002,DC,3.1312061403508764
2002,DE,2.9932675438596483
2002,FL,2.791877192982456
2002,GA,2.584969298245613
2002,HI,3.4291535087719294
2002,IA,2.8994692982456134
2002,ID,3.087065789473684
2002,IL,3.0567192982456137
2002,IN,2.833258771929824
2002,KS,2.962921052631579
2002,KY,2.8967105263157893
2002,LA,2.8608464912280698
2002,MA,3.0677543859649115
2002,MD,3.0291315789473687
2002,ME,3.10913596491228
2002,MI,2.938092105263158
2002,MN,3.1063771929824555
2002,MO,2.8553289473684207
2002,MS,2.913263157894737
2002,MT,3.1449999999999996
2002,NC,2.9298157894736834
2002,ND,3.1367236842105255
2002,NE,3.009820175438596
2002,NH,3.031890350877193
2002,NJ,2.8360175438596484
2002,NM,3.009820175438596
2002,NV,3.2305219298245613
2002,NY,3.020855263157894
2002,OH,3.0125789473684206
2002,OK,2.7615307017543858
2002,OR,3.161552631578947
2002,PA,2.9656798245614033
2002,RI,3.1974166666666664
2002,SC,2.8111885964912275
2002,SD,3.0898245614035083
2002,TN,2.858087719298245
2002,TX,2.847052631578947
2002,UT,3.0512017543859646
2002,VA,2.885675438596491
2002,VT,3.084307017543859
2002,WA,3.064995614035088
2002,WI,3.178105263157894
2002,WV,3.076030701754386
2002,WY,2.9932675438596483
2004,AK,3.6655119266055047
2004,AL,3.252333944954128
2004,AR,3.2708
2004,AZ,3.6078055045871555
2004,CA,3.7624587155963303
2004,CO,3.4485357798165137
2004,CT,3.5639486238532103
2004,DC,3.4600770642201835
2004,DE,3.4439192660550457
2004,FL,3.226943119266055
2004,GA,3.081522935779816
2004,HI,3.9794348623853204
2004,IA,3.25925871559633
2004,ID,3.5408660550458717
2004,IL,3.3723633027522935
2004,IN,3.2615669724770644
2004,KS,3.3261981651376145
2004,KY,3.293882568807339
2004,LA,3.2615669724770644
2004,MA,3.464693577981651
2004,MD,3.43468623853211
2004,ME,3.5500990825688072
2004,MI,3.3261981651376145
2004,MN,3.390829357798165
2004,MO,3.213093577981651
2004,MS,3.291574311926605
2004,MT,3.513166972477064
2004,NC,3.3538972477064215
2004,ND,3.4600770642201835
2004,NE,3.367746788990826
2004,NH,3.439302752293578
2004,NJ,3.312348623853211
2004,NM,3.3977541284403667
2004,NV,3.852480733944954
2004,NY,3.4970091743119265
2004,OH,3.395445871559633
2004,OK,3.139229357798165
2004,OR,3.6424293577981652
2004,PA,3.4116036697247702
2004,RI,3.5662568807339445
2004,SC,3.2361761467889907
2004,SD,3.4162201834862382
2004,TN,3.296190825688073
2004,TX,3.222326605504587
2004,UT,3.469310091743119
2004,VA,3.266183486238532
2004,VT,3.5293247706422015
2004,WA,3.6678201834862385
2004,WI,3.543174311926605
2004,WV,3.464693577981651
2004,WY,3.3146568807339443
2006,AK,3.681701086956522
2006,AL,3.3774565217391306
2006,AR,3.372328804347826
2006,AZ,3.538125
2006,CA,3.6697364130434775
2006,CO,3.541543478260869
2006,CT,3.6543532608695646
2006,DC,3.6543532608695646
2006,DE,3.5552173913043474
2006,FL,3.379165760869565
2006,GA,3.2595190217391297
2006,HI,4.098755434782609
2006,IA,3.404804347826087
2006,ID,3.5586358695652165
2006,IL,3.452663043478261
2006,IN,3.3552364130434778
2006,KS,3.4065135869565215
2006,KY,3.4253152173913035
2006,LA,3.4372798913043474
2006,MA,3.538125
2006,MD,3.57401902173913
2006,ME,3.5876929347826083
2006,MI,3.41676902173913
2006,MN,3.4577907608695653
2006,MO,3.326179347826087
2006,MS,3.4133505434782605
2006,MT,3.53470652173913
2006,NC,3.5090679347826086
2006,ND,3.5227418478260866
2006,NE,3.507358695652173
2006,NH,3.527869565217391
2006,NJ,3.430442934782608
2006,NM,3.5774375
2006,NV,3.6731548913043475
2006,NY,3.553508152173912
2006,OH,3.4783016304347827
2006,OK,3.319342391304348
2006,OR,3.6731548913043475
2006,PA,3.57401902173913
