year,cpi_adjustment,California_price_sep_oct_avg_real2024,Colorado_price_sep_oct_avg_real2024,Florida_price_sep_oct_avg_real2024,Massachusetts_price_sep_oct_avg_real2024,Minnesota_price_sep_oct_avg_real2024,New York_price_sep_oct_avg_real2024,Ohio_price_sep_oct_avg_real2024,Texas_price_sep_oct_avg_real2024,Washington_price_sep_oct_avg_real2024
2008,1.4607524384579655,5.27802317180162,4.939940135211849,5.059234917685917,4.7656236775558645,4.664020230169789,5.183398874954842,4.847588119936006,4.7708174640037155,5.149801568870311
2010,1.4419990829894545,4.408912196240257,3.927284502521779,3.893397524071527,3.856266047684548,4.03309118523613,4.114203633654287,3.9586479825768,3.7340566254011924,4.3625879756992205
2012,1.369773519163763,5.892917876500195,5.019002371273713,5.04487587108014,5.259321525358111,5.1063634823848245,5.515773567557105,5.025394647696476,4.866957510646535,5.512273035230352
2014,1.3286861005492185,4.873177721447684,4.532295920762334,4.272021076843637,4.464385297845374,4.210015725484674,4.680665868656997,4.251795521757499,4.120403229592076,4.800985776651176
2016,1.3104166666666666,3.6431039351851853,2.8331208333333335,2.837634490740741,2.855252314814815,2.822346296296297,3.0007085648148144,2.7812865740740746,2.615300462962963,3.4931340277777774
2018,1.252489048187973,4.521346298508783,3.6007668480906236,3.4270883667418914,3.5501106243639096,3.461183901942564,3.641959821231028,3.370865525023231,3.2134694013009426,4.193194167883535
2022,1.0744789887256576,5.983176555441673,3.818459552822382,3.560703982082527,3.8860323425577956,3.9537245188475123,3.9082382416581254,3.914326955927571,3.3602539574080406,5.165975591238659
2024,1,4.426777777777778,3.2824444444444443,3.0813333333333333,3.092222222222222,3.0754444444444444,3.1853333333333333,3.041777777777778,2.699222222222222,3.9436666666666667
