state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean
DE,2016,10001,-0.10724567311720967,-0.03438319535679435,1.3000000000000003,-10913.147565412597,-4.700000000000003,1.7000000000000028,0.03349876071621702,-0.05125707617850905,0.029959884264395997,-0.0027023509794256995,-3.262561338274097e-4,-71188.1,77369.9,40.7,198936.3444418644,-4.099999999999994,0.2999999999999998,-0.03000000000000025,1.1000000000000014,19412,33.10741161182301,-0.02185572764056598,0.0039908108201880295,DEMOCRAT,REPUBLICAN,FALSE,0.4470763291241052,-0.1468897561881754
DE,2012,10003,-0.0460442138764684,0.3630510777066287,1.0999999999999996,-7307.087694465707,-2.1000000000000085,-0.7999999999999972,0.01844085345103602,-0.04256337754626505,0.012732722555858,0.007981992312431602,-5.934601877145601e-4,-266731.5,263772.9,4.100000000000001,-18051.507198245003,-0.7999999999999972,0.10000000000000009,0.009999999999999787,0.40000000000000213,16435,38.553960376099894,0.00789395279692362,-0.019945583254264675,DEMOCRAT,REPUBLICAN,FALSE,0.662992238464835,-0.06554699911282813
DE,2016,10003,-0.04209060693021682,-0.39743427306342305,-1.9,3015.9582026713033,-2.1999999999999957,1.5,0.011121879551003022,-0.013717135123448965,0.009870521013983002,0.007763493251882796,0.0016467137080387602,0.09999999999999998,6719,35.10000000000001,141984.78731126597,-0.6000000000000085,-0.8000000000000003,0.040000000000000036,0.29999999999999716,10911,25.59551333517993,0.012155572726531672,-7.996793413014153e-4,DEMOCRAT,DEMOCRAT,TRUE,0.6209016315346182,-0.04570955447821462
DE,2016,10005,-0.09074483254236376,-0.03438319535679435,-2.6999999999999997,6377.95068702579,-4.799999999999997,7,0.057655389916383026,0.02502018222233393,-0.011045358234828995,0.0013680477336511995,0.00276008617579511,-83054.3,96441.1,55.699999999999996,249448.5551168908,0.6000000000000085,-1.1,0.14000000000000012,2.8000000000000007,32215,34.414483876085,-0.0031612866701875575,0.00778911650546681,DEMOCRAT,REPUBLICAN,FALSE,0.3710380348652932,-0.13381196800312667
DC,2012,11001,-0.025543286058447245,0.4619639929435242,1.8999999999999995,6573.476951980105,1,-1.1999999999999957,0.04728126942060501,0.021451148280664967,-0.039049699694523043,6.206999921726034e-4,-1.665810480830799e-4,-306365.9,326940.9,1.8999999999999986,-6987.450121255999,-0.6999999999999957,-0.5,-0.009999999999999787,0.3999999999999986,40490,662.26727237464,-0.041140287991901336,0.02858770777272246,DEMOCRAT,REPUBLICAN,FALSE,0.9091311392818724,-0.022897297795886895
DC,2016,11001,-4.929239818736164e-4,-0.41753635569817726,-2.3,7740.690606852499,0.29999999999999716,0.19999999999999574,0.038667519784180926,0.010640115717636012,-0.024761187223236003,0.004241918804563899,-6.289629201209801e-4,0,37840,-19.299999999999997,603323.1387921029,1.3999999999999986,0,0.05999999999999961,0.9000000000000021,48847,798.9570129335989,-0.016015270842964502,-0.025837410794634197,DEMOCRAT,DEMOCRAT,TRUE,0.9086382152999988,0.031415245601047914
FL,2012,12001,-0.03469192894939832,0.21603075800990412,2.2,-5878.415822626601,-4,0,-0.04889875716269099,-0.03669262583878097,0.009604773448480014,0.006207683562383902,0.0013672765768875498,-120899.3,113897.2,0.7999999999999972,-10376.0713082062,1.1000000000000014,-0.20000000000000018,0.23999999999999977,-0.3000000000000007,10053,11.488437494259017,-0.0026907417754418184,0.006555701738050729,DEMOCRAT,REPUBLICAN,FALSE,0.5788088159577471,-0.0419424553009497
FL,2016,12001,0.010904260863620063,-0.3918156885981521,-1.6,2290.023896631901,-1.1000000000000014,0.8000000000000007,-0.007853793895670036,-0.004775223147745922,0.003078815011101993,0.011757191401657804,0.0013425863827531402,0.20000000000000007,5977,7.800000000000004,161625.9698025555,-5.800000000000004,0.10000000000000009,0.08000000000000007,2.3000000000000007,12079,13.803723912577993,-2.3731064690046821e-4,7.233653818209604e-4,DEMOCRAT,DEMOCRAT,TRUE,0.5897130768213672,0.05186871729938497
FL,2012,12009,-0.021838358159641358,0.21603075800990412,3.1999999999999993,-8945.753545008898,-2.1000000000000014,2.1999999999999957,0.011548264947662035,-0.009609001320719068,0.0038091669201305994,0.0015078865317419005,9.4388722035703e-4,-240426.4,223931.6,2.400000000000002,-21334.581386923004,-1.2999999999999972,-0.6000000000000001,0.06000000000000005,-0.8000000000000007,10786,10.622255958718938,-0.005380176800619529,0.0033481648367738597,DEMOCRAT,REPUBLICAN,FALSE,0.43070959066252507,-0.023033604250207076
FL,2016,12009,-0.05047689952791756,-0.3918156885981521,-4.3999999999999995,3840.8814750290985,-4,1,0.024817759976280995,-0.008437934822594029,-0.002065036580076604,0.002022069757014199,7.142813629065032e-5,0.20000000000000007,17977,45.199999999999996,12395.993757259013,1,-0.10000000000000009,0.06000000000000005,1.1999999999999993,31823,31.339889799214006,-0.0049591253346448205,-0.0026993672103117396,DEMOCRAT,DEMOCRAT,TRUE,0.3802326911346075,-0.07037380798475212
