STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price
01097,AL,2010,0.369583755732,0.427076101303,0.411983281374,0.9401282203490444,0.00603110530689778,"Mobile County, Alabama",0.607234373071814,0.347996622120273,0.0187404573687866,0.00975858806563152,60.8,1.2,170552,7.9,57677.0793214122,32.9,148745.089408528,64.7,1.9,2.64,0.210101933843374,36.7,413277,23.9,336.16303804087,3.1747203718048027
01097,AL,2012,0.582198858261,0.632371425629,0.4332428574562,0.9468951351615704,0.0043097651330831,"Mobile County, Alabama",0.605651598314715,0.351148486722585,0.019911290634301,0.00843125507324804,58.1,1.3,164770,6.8,54367.6807491289,35.8,137922.495644599,65.8,1,2.57,0.214886760031564,37.1,413936,24.1,336.699074263715,3.3260157430730475
01097,AL,2014,0.83198428154,0.980000019073,0.324932128191,0.9370158362210684,0.00516835594242664,"Mobile County, Alabama",0.591258494470314,0.35303753345394,0.0207071157223281,0.00564411029983884,57,1.6,171194,4.5,57986.518800169,34.8,133002.807351077,68,1.4,2.63,0.210021875011337,37.5,415123,24.6,337.664590191663,3.165172011661807
01097,AL,2016,0.560840725899,0.610448241234,0.3206491470337,0.9204314216045149,0.00646786531621635,"Mobile County, Alabama",0.586458263024424,0.356769904251319,0.0199331784126739,0.00802244742500651,56.9,0.6,175077,3.5,59943.7,65.6,166160.833333333,65,1.8,2.58,0.236658158044956,37.4,414836,24.8,337.431141942867,2.796635165833712
01097,AL,2018,0.416660368443,0.44668880105,NA,0.9323152604756512,0.00283715553038882,"Mobile County, Alabama",0.57920711915448,0.36298600386217,0.0194244447828073,0.00738597775989288,55.5,0.9,171487,3.1,53933.4309040223,60,164952.807646356,63.1,2.4,2.57,0.222953417246289,38.1,413757,24.9,336.553474136417,2.9898873786407765
01101,AL,2010,0.444459050894,0.5107011199,0.5236992239952,0.9491355601222792,0.00753509390751362,"Montgomery County, Alabama",0.400241033048502,0.544813003602443,0.0210403578079045,0.0024842936948539,61.2,0.5,99081,5.2,60486.0935350757,40.4,75752.537826685,64.9,2.2,2.5,0.318335781913157,34.9,229844,20.7,293.061192938038,3.1747203718048027
01101,AL,2014,0.843304157257,0.980000019073,0.4282385110855,0.9254786509653128,0.01089481695105343,"Montgomery County, Alabama",0.384408614035165,0.566672119333831,0.0260269067019174,0.00158716825309807,63.1,0.7,100116,6.1,57593.2277144064,41.6,69338.8128432615,63,1.4,2.46,0.30426267281106,35.7,226189,20.2,288.400907439227,3.165172011661807
01101,AL,2016,0.57607960701,0.6233330369,0.4404657483101,0.9329095557244524,0.00353367353989201,"Montgomery County, Alabama",0.361123751375089,0.574360832166257,0.025416502834119,0.00149768719985509,62.5,0,102601,4.4,59486.3645833333,58.4,165112.5,59.9,3.3,2.42,0.318124946212357,36.4,226349,21.5,288.604914465167,2.796635165833712
01125,AL,2012,0.531625390053,0.642553687096,0.3885878324509,0.945679272446364,0.00393272235682432,"Tuscaloosa County, Alabama",0.670315615621664,0.304099780458821,0.0148643477210014,0.00185300811698121,58.6,2.8,87256,4.4,56351.112804878,35.9,59489.2639372822,66.1,1.7,2.77,0.294910638297872,31.7,198596,21.7,150.259275229752,3.3260157430730475
04003,AZ,2012,0.529055655003,0.598463833332,0.4088117480278,0.826481182461806,0.01916946135055686,"Cochise County, Arizona",0.767912300890316,0.0480891526860881,0.0145509054569681,0.00963751438434983,51.3,4.6,43846,4.9,59245.4442508711,33.8,45298.4102787456,63.3,1.8,2.41,0.236484293691738,40.1,132088,17.2,21.423178551127,3.4591039042821157
04005,AZ,2010,0.403443872929,0.470212012529,0.5228363275528,0.8072884175504262,0.01741526304845082,"Coconino County, Arizona",0.611046334598332,0.0126029513334472,0.0150017452525418,0.269065955692865,63.7,1.8,59481,7.8,60751.4213663457,38.4,39316.1049977075,64.2,4,2.84,0.312551416891319,31.7,134651,18.6,7.23199261237475,3.288729666924864
04005,AZ,2012,0.533881783485,0.617668271065,0.579263985157,0.7865499329500439,0.02016122817022982,"Coconino County, Arizona",0.634139885744535,0.0179323731168803,0.0151237767533508,0.270919263883068,65.7,1.2,65614,5.4,62516.4634146341,39.8,38239.9673344948,63.9,3.5,2.73,0.297594580193347,31,136011,17,7.30503707511791,3.4591039042821157
04005,AZ,2014,0.359046578407,0.441266238689,0.5874385237694,0.7896425874653914,0.02049773470928769,"Coconino County, Arizona",0.639328307258756,0.0156810621577258,0.0220653389695094,0.261784401737337,63,2.2,64328,4.9,66111.4343050275,39.6,37631.047739755,65.1,2.7,2.7,0.35163403558401,30.9,137682,17.8,7.3947850877972,3.3118775510204084
04005,AZ,2016,0.577991366386,0.644314110279,0.5879020094872,0.8298852034740636,0.01494101395659008,"Coconino County, Arizona",0.646996621909331,0.0153717319101825,0.0189485337951004,0.26265364635081,62.1,1.4,65466,5.4,72192.1645833333,60,356433.333333333,57.5,1.3,2.66,0.353907605110791,30.9,140908,16.6,7.56805085015708,3.319611085870059
04005,AZ,2018,0.482753008604,0.566625118256,0.6401315927505,0.8249234778919295,0.02344152498712004,"Coconino County, Arizona",0.634136951012922,0.0131742898343764,0.0188094138071038,0.267244879387347,61.6,1.2,67654,3.5,77457.6802070888,62.8,367981.282357626,63.1,2,2.7,0.359918466989797,30.8,142854,19.9,7.67256888287634,3.62304
04005,AZ,2022,0.47867166996,0.526938199997,0.6390584111214,0.7892830963201877,0.01829643747251136,"Coconino County, Arizona",0.557288629737609,0.0183187560738581,0.0173399972233791,0.239254477301125,61.3,2.4,70049,2.5,67286.0232319781,56.4,493508.199521695,41,1,14899,0.421366742596811,32.6,144060,19.6,7.73734213439712,4.026902502157032
04013,AZ,2010,0.403543412685,0.493671566248,0.393595635891,0.8844320429268364,0.02122492227642829,"Maricopa County, Arizona",0.810288315399788,0.0514564697281763,0.0339104832011321,0.0180183734474656,64.6,0.6,1673777,7.2,72691.1737734984,36.9,1259007.95735901,66.3,3,2.73,0.283068479309236,34.6,3827371,25.3,416.045602719248,3.288729666924864
04013,AZ,2012,0.55895704031,0.634643852711,0.4436060190201,0.8808824829984713,0.02257318323978329,"Maricopa County, Arizona",0.804661342524889,0.0532787914470435,0.0368211002623175,0.0187181219272943,63.8,0.6,1770029,5.5,70450.1916376307,39.6,1178466.84015679,64.9,3.2,2.73,0.302121495117456,35.3,3942169,25.5,428.524456507126,3.4591039042821157
04013,AZ,2014,0.315723985434,0.387334257364,0.4525011181831,0.8733066041006785,0.02222606859144078,"Maricopa County, Arizona",0.789971400896117,0.0511458847898226,0.039732911919213,0.0187145645995012,62.9,0.8,1858087,4.3,71610.8660752007,41.1,1140464.42754542,64.9,2.9,2.77,0.302451637172386,35.7,4087191,25,444.288741024501,3.3118775510204084
04013,AZ,2016,0,0,0.4546737074852,0.8726836328953743,0.01949233499768929,"Maricopa County, Arizona",0.760667518737345,0.0543582755302443,0.0397643458149982,0.0193966670256896,63.8,0.6,1995962,3.5,76969.94375,60.5,313582.708333333,66,2.8,2.75,0.319347622469531,36.2,4242997,26.1,461.225275574529,3.319611085870059
04013,AZ,2018,0.426832467318,0.56861269474,0.5214393734932,0.8678974158443375,0.01913273659303748,"Maricopa County, Arizona",0.785993501441,0.0584673067889356,0.0418989739785582,0.0207738962153103,64.6,0.6,2139992,2.9,81727.4153723616,62.6,346688.968538431,65.9,3.1,2.75,0.332121215408702,36.6,4410824,26.3,479.468525410399,3.62304
04013,AZ,2022,0.458726704121,0.531706213951,0.5231168270111,0.7291301192640749,0.00921149987431394,"Maricopa County, Arizona",0.576238859775319,0.057968056413632,0.0459944844847572,0.0198232504101923,65.1,0.6,2286055,2.4,89984.3918688077,65.2,501459.344038264,47.1,1.5,522506,0.361121319789413,37.4,4551524,25.2,494.762996811943,4.026902502157032
