STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price,d_turnout,d_partisan_index_dem,d_gas,d_unemp,d_income,d_age,d_edu,d_white,d_commute,d_pop,d_pop_density,d_black,d_asian,d_native,d_lfpr,d_manufacturing,d_edu_health,d_percent_car,d_percent_pt,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_gas_lag,d_gas_future
01069,AL,2014,0.771383047104,0.980000019073,0.2087517380714,0.9605769001170036,0.00358174741517228,"Houston County, Alabama",0.696313571929016,0.275258414672771,0.0054994097492154,0.00212106379507261,56.3,1.8,42390,4.8,52540.2344740178,34.6,33737.9974651458,64.3,2.1,2.66,0.193794384045132,39.1,104193,21.8,179.697117477361,3.165172011661807,0.21387887000999994,-0.06958392262460003,-0.1608437314112403,0.39999999999999947,-2810.943661870697,0.30000000000000426,-0.02541423568364401,-0.005761823131041011,-0.3000000000000007,791,1.3642031607169827,0.010727747954526023,-0.0029046830149477704,-9.359356165163004e-5,-2.700000000000003,0.9,-1691,0.002004982699414737,6.845191729001297e-4,-0.5,-574.8291899064934,-2.1000000000000085,1,0.010000000000000231,NA,-0.017458465501324127
01069,AL,2022,0.336429685354,0.35133048892,0.2577725052834,0.935874686410084,0.00256990760570274,"Houston County, Alabama",0.653762525560007,0.266351465131987,0.0105108300409885,0.00416362105496905,59.6,1,49279,2.3,60928.3310556884,65.8,195340.280150325,43.1,1,14084,0.243130234981364,40.3,108079,23.3,186.399131993855,3.147713546160483,-0.43495336175,0.04902076721200002,-0.017458465501324127,-2.5,8388.096581670601,1.1999999999999957,0.049335850936231995,-0.04255104636900897,1.5,3886,6.7020145164940175,-0.008906949540784026,0.0050114202917730995,0.0020425572598964403,3.3000000000000043,-0.8,6889,-0.024702213706919607,-0.00101183980946954,31.199999999999996,161602.2826851792,-21.199999999999996,-1.1,14081.34,-0.1608437314112403,NA
01073,AL,2012,0.627342641354,0.700048685074,0.5018028020859,0.95147707715081,0.00787939741201634,"Jefferson County, Alabama",0.532476072295984,0.426041160044787,0.0156740286874876,0.00181361163256865,60.6,0.7,287272,5.6,60213.8741289199,35.9,226676.970818815,63.5,1,2.5,0.306542596571129,37.1,660009,23.2,593.919218365584,3.3260157430730475,0.18780335783999996,0.031374126672799985,0.15129537126824477,-1.8000000000000007,251.22626096940076,0,0.020193638391661994,-0.004003037269656007,-0.1999999999999993,1454,1.3084041937360098,0.003151651955105972,0.0014200939364038007,-3.2288418023362e-4,-2.1999999999999957,0.09999999999999998,-2182,0.004601715725928379,-0.0011382629029183505,0.5,-13040.956737352011,-0.7000000000000028,-0.6000000000000001,-0.009999999999999787,NA,-0.1608437314112403
01073,AL,2014,0.837212324142,0.980000019073,0.3763521015644,0.9412865165431006,0.00698517207037733,"Jefferson County, Alabama",0.52397649490839,0.419707835888092,0.0162153654775399,0.0032491264283974,61.3,0.8,293602,5.4,59320.5196451204,38.4,214347.627798902,62.9,1.8,2.46,0.30513814019939,37.5,660793,23.5,594.624712786415,3.165172011661807,0.209869682788,-0.12545070052149998,-0.1608437314112403,-0.1999999999999993,-893.3544837994996,0.3999999999999986,-0.0014044563717389713,-0.008499577387593993,0.3000000000000007,784,0.7054944208309735,-0.006333324156694964,5.413367900522978e-4,0.0014355147958287503,0.6999999999999957,0.10000000000000009,6330,-0.010190560607709398,-8.94225341639009e-4,2.5,-12329.343019913009,-0.6000000000000014,0.8,-0.040000000000000036,0.15129537126824477,-0.3685368458280953
01073,AL,2016,0.622828006744,0.66934633255,0.3813635706902,0.9427069313313992,0.00838127141428139,"Jefferson County, Alabama",0.516292885290991,0.424518703725886,0.0126849637843223,0.0027277372517327,62.6,0.5,305986,4.3,65756.7083333333,62.8,199183.333333333,62.8,1.9,2.46,0.329162881419334,38,659521,23.4,593.480084083229,2.796635165833712,-0.214384317398,0.005011469125799972,-0.3685368458280953,-1.1000000000000005,6436.1886882128965,0.5,0.024024741219943968,-0.007683609617399001,-0.10000000000000142,-1272,-1.1446287031859583,0.004810867837793997,-0.0035304016932175986,-5.213891766647004e-4,1.3000000000000043,-0.30000000000000004,12384,0.001420414788298574,0.0013960993439040593,24.4,-15164.294465568993,-0.10000000000000142,0.09999999999999987,0,-0.1608437314112403,0.19325221280706462
01073,AL,2018,0.49796757102,0.53792655468,NA,0.9276025932588846,0.00878110043786701,"Jefferson County, Alabama",0.517559532837858,0.428630365539208,0.0145062945548309,0.00270893371757925,60.7,0.6,298525,4.1,69144.9103942652,63,209040.422142573,62.2,1.9,2.51,0.33500397191557,38.2,659300,24.2,593.281213844704,2.9898873786407765,-0.12486043572399996,NA,0.19325221280706462,-0.20000000000000018,3388.2020609319006,0.20000000000000284,0.0058410904962360455,0.0012666475468670058,0.8000000000000007,-221,-0.19887023852504626,0.0041116618133220095,0.0018213307705085991,-1.8803534153449732e-5,-1.8999999999999986,0.09999999999999998,-7461,-0.015104338072514545,3.998290235856204e-4,0.20000000000000284,9857.088809239998,-0.5999999999999943,0,0.04999999999999982,-0.3685368458280953,0.15782616751970657
01073,AL,2022,0.382741361856,0.408703327179,0.5500463843346,0.861384641128617,0.00725015446400988,"Jefferson County, Alabama",0.489450849026689,0.428413201504639,0.0192107410630154,0.00279377044795006,61.6,0.7,314455,2.3,66583.3139733516,62.9,254866.416125726,39.9,0.7,81514,0.37597925094495,38.1,665409,23.2,598.778491162128,3.147713546160483,-0.115226209164,NA,0.15782616751970657,-1.7999999999999998,-2561.5964209136,-0.10000000000000142,0.040975279029379974,-0.028108683811169044,-1,6109,5.49727731742405,-2.1716403456900624e-4,0.004704446508184499,8.483673037080986e-5,0.8999999999999986,0.09999999999999998,15930,-0.0662179521302676,-0.00153094597385713,-0.10000000000000142,45825.99398315302,-22.300000000000004,-1.2,81511.49,0.19325221280706462,NA
01081,AL,2012,0.521063685417,0.561287879944,0.3826776444912,0.90749773896541,0.00914792355479117,"Lee County, Alabama",0.702228077442838,0.228070651989379,0.0272177213986432,0.00325281650447856,63,0.4,68181,4.2,61698.7086236934,37.8,47301.0191637631,61.3,1.1,2.56,0.328646372363584,29.8,147257,23.3,242.377645570084,3.3260157430730475,0.195987433195,0.017631769180300016,0.15129537126824477,-3.0999999999999996,4911.342736485698,0.6000000000000014,0.016245696329984016,-0.02389068942745598,1.5,6477,10.660817552696017,-0.004121420748225996,0.0012410201626721976,0.00169719780864108,-1.7000000000000028,-0.7999999999999999,4463,-0.0022916519846566397,0.0014806633972754904,1.3999999999999986,-3241.0486950173,1.0999999999999943,-0.09999999999999987,0.08999999999999986,NA,-0.5293805772393356
01081,AL,2016,0.506974935532,0.57558208704,0.2839312553406,0.903494623655914,0.0036021505376344,"Lee County, Alabama",0.699316313502022,0.238805970149254,0.0418136875672208,0,62.5,0.5,75028,3.6,62973.3833333333,58.5,214122.083333333,60.5,0.6,2.58,0.356909764621668,31,158991,23.8,261.691221787985,2.796635165833712,-0.014088749884999974,-0.09874638915060002,-0.5293805772393356,-0.6000000000000001,1274.674709639905,1.1999999999999993,0.028263392258083997,-0.002911763940816048,0.5,11734,19.313576217900987,0.010735318159874996,0.014595966168577602,-0.00325281650447856,-0.5,0.09999999999999998,6847,-0.00400311530949593,-0.00554577301715677,20.700000000000003,166821.0641695699,-0.7999999999999972,-0.5000000000000001,0.020000000000000018,0.15129537126824477,NA
01089,AL,2014,0.873311460018,0.980000019073,0.2790882885456,0.9375079231888344,0.0026621914483891,"Madison County, Alabama",0.68557717835335,0.234936440012675,0.0248616182175798,0.00435627849351554,64.6,0.6,166652,4.8,77514.2184199409,31.7,127763.798056612,65.8,1.7,2.43,0.384274658739716,37.9,350299,20.9,437.003769573688,3.165172011661807,0.24221187830000002,-0.09302943944929998,-0.1608437314112403,-1,-342.33863580820616,0,-0.025321530008015014,-0.0067015904469300835,0.09999999999999787,7219,9.005821348483948,-0.010195890639068006,0.002706435752848499,-0.0031725777499262203,-1.1000000000000085,-0.20000000000000007,4413,-0.008802061852068443,2.0239011020710016e-4,0.5999999999999979,-26.482866733000265,1.2999999999999972,0.09999999999999987,-0.04999999999999982,NA,-0.017458465501324127
