STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price,d_turnout,d_partisan_index_dem,d_gas,d_unemp,d_income,d_age,d_edu,d_white,d_commute,d_pop,d_pop_density,d_black,d_asian,d_native,d_lfpr,d_manufacturing,d_edu_health,d_percent_car,d_percent_pt,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_gas_lag,d_gas_future,d_gas_lead,d_percent_pt_lead
01069,AL,2014,0.771383047104,0.980000019073,0.2087517380714,0.9605769001170036,0.00358174741517228,"Houston County, Alabama",0.696313571929016,0.275258414672771,0.0054994097492154,0.00212106379507261,56.3,1.8,42390,4.8,52540.2344740178,34.6,33737.9974651458,64.3,2.1,2.66,0.193794384045132,39.1,104193,21.8,179.697117477361,3.165172011661807,0.21387887000999994,-0.06958392262460003,-0.1608437314112403,0.39999999999999947,-2810.943661870697,0.30000000000000426,-0.02541423568364401,-0.005761823131041011,-0.3000000000000007,791,1.3642031607169827,0.010727747954526023,-0.0029046830149477704,-9.359356165163004e-5,-2.700000000000003,0.9,-1691,0.002004982699414737,6.845191729001297e-4,-0.5,-574.8291899064934,-2.1000000000000085,1,0.010000000000000231,NA,-0.017458465501324127,-0.017458465501324127,-0.00101183980946954
01073,AL,2012,0.627342641354,0.700048685074,0.5018028020859,0.95147707715081,0.00787939741201634,"Jefferson County, Alabama",0.532476072295984,0.426041160044787,0.0156740286874876,0.00181361163256865,60.6,0.7,287272,5.6,60213.8741289199,35.9,226676.970818815,63.5,1,2.5,0.306542596571129,37.1,660009,23.2,593.919218365584,3.3260157430730475,0.18780335783999996,0.031374126672799985,0.15129537126824477,-1.8000000000000007,251.22626096940076,0,0.020193638391661994,-0.004003037269656007,-0.1999999999999993,1454,1.3084041937360098,0.003151651955105972,0.0014200939364038007,-3.2288418023362e-4,-2.1999999999999957,0.09999999999999998,-2182,0.004601715725928379,-0.0011382629029183505,0.5,-13040.956737352011,-0.7000000000000028,-0.6000000000000001,-0.009999999999999787,NA,-0.1608437314112403,-0.1608437314112403,-8.94225341639009e-4
01073,AL,2014,0.837212324142,0.980000019073,0.3763521015644,0.9412865165431006,0.00698517207037733,"Jefferson County, Alabama",0.52397649490839,0.419707835888092,0.0162153654775399,0.0032491264283974,61.3,0.8,293602,5.4,59320.5196451204,38.4,214347.627798902,62.9,1.8,2.46,0.30513814019939,37.5,660793,23.5,594.624712786415,3.165172011661807,0.209869682788,-0.12545070052149998,-0.1608437314112403,-0.1999999999999993,-893.3544837994996,0.3999999999999986,-0.0014044563717389713,-0.008499577387593993,0.3000000000000007,784,0.7054944208309735,-0.006333324156694964,5.413367900522978e-4,0.0014355147958287503,0.6999999999999957,0.10000000000000009,6330,-0.010190560607709398,-8.94225341639009e-4,2.5,-12329.343019913009,-0.6000000000000014,0.8,-0.040000000000000036,0.15129537126824477,-0.3685368458280953,-0.3685368458280953,0.0013960993439040593
01073,AL,2016,0.622828006744,0.66934633255,0.3813635706902,0.9427069313313992,0.00838127141428139,"Jefferson County, Alabama",0.516292885290991,0.424518703725886,0.0126849637843223,0.0027277372517327,62.6,0.5,305986,4.3,65756.7083333333,62.8,199183.333333333,62.8,1.9,2.46,0.329162881419334,38,659521,23.4,593.480084083229,2.796635165833712,-0.214384317398,0.005011469125799972,-0.3685368458280953,-1.1000000000000005,6436.1886882128965,0.5,0.024024741219943968,-0.007683609617399001,-0.10000000000000142,-1272,-1.1446287031859583,0.004810867837793997,-0.0035304016932175986,-5.213891766647004e-4,1.3000000000000043,-0.30000000000000004,12384,0.001420414788298574,0.0013960993439040593,24.4,-15164.294465568993,-0.10000000000000142,0.09999999999999987,0,-0.1608437314112403,0.19325221280706462,0.19325221280706462,3.998290235856204e-4
01081,AL,2012,0.521063685417,0.561287879944,0.3826776444912,0.90749773896541,0.00914792355479117,"Lee County, Alabama",0.702228077442838,0.228070651989379,0.0272177213986432,0.00325281650447856,63,0.4,68181,4.2,61698.7086236934,37.8,47301.0191637631,61.3,1.1,2.56,0.328646372363584,29.8,147257,23.3,242.377645570084,3.3260157430730475,0.195987433195,0.017631769180300016,0.15129537126824477,-3.0999999999999996,4911.342736485698,0.6000000000000014,0.016245696329984016,-0.02389068942745598,1.5,6477,10.660817552696017,-0.004121420748225996,0.0012410201626721976,0.00169719780864108,-1.7000000000000028,-0.7999999999999999,4463,-0.0022916519846566397,0.0014806633972754904,1.3999999999999986,-3241.0486950173,1.0999999999999943,-0.09999999999999987,0.08999999999999986,NA,-0.5293805772393356,-0.5293805772393356,-0.00554577301715677
01089,AL,2014,0.873311460018,0.980000019073,0.2790882885456,0.9375079231888344,0.0026621914483891,"Madison County, Alabama",0.68557717835335,0.234936440012675,0.0248616182175798,0.00435627849351554,64.6,0.6,166652,4.8,77514.2184199409,31.7,127763.798056612,65.8,1.7,2.43,0.384274658739716,37.9,350299,20.9,437.003769573688,3.165172011661807,0.24221187830000002,-0.09302943944929998,-0.1608437314112403,-1,-342.33863580820616,0,-0.025321530008015014,-0.0067015904469300835,0.09999999999999787,7219,9.005821348483948,-0.010195890639068006,0.002706435752848499,-0.0031725777499262203,-1.1000000000000085,-0.20000000000000007,4413,-0.008802061852068443,2.0239011020710016e-4,0.5999999999999979,-26.482866733000265,1.2999999999999972,0.09999999999999987,-0.04999999999999982,NA,-0.017458465501324127,-0.017458465501324127,7.212196797539002e-5
01097,AL,2012,0.582198858261,0.632371425629,0.4332428574562,0.9468951351615704,0.0043097651330831,"Mobile County, Alabama",0.605651598314715,0.351148486722585,0.019911290634301,0.00843125507324804,58.1,1.3,164770,6.8,54367.6807491289,35.8,137922.495644599,65.8,1,2.57,0.214886760031564,37.1,413936,24.1,336.699074263715,3.3260157430730475,0.21261510252900007,0.021259576082200027,0.15129537126824477,-1.1000000000000005,-3309.398572283302,0.3999999999999986,0.004784826188190011,-0.0015827747570990036,0.20000000000000284,659,0.5360362228449844,0.0031518646023119823,0.0011708332655143983,-0.0013273329923834797,-2.6999999999999957,0.10000000000000009,-5782,0.006766914812526004,-0.0017213401738146797,2.8999999999999986,-10822.593763929006,1.0999999999999943,-0.8999999999999999,-0.07000000000000028,NA,-0.1608437314112403,-0.1608437314112403,8.585908093435395e-4
01097,AL,2014,0.83198428154,0.980000019073,0.324932128191,0.9370158362210684,0.00516835594242664,"Mobile County, Alabama",0.591258494470314,0.35303753345394,0.0207071157223281,0.00564411029983884,57,1.6,171194,4.5,57986.518800169,34.8,133002.807351077,68,1.4,2.63,0.210021875011337,37.5,415123,24.6,337.664590191663,3.165172011661807,0.249785423279,-0.10831072926520002,-0.1608437314112403,-2.3,3618.8380510400966,0.3999999999999986,-0.004864885020227,-0.014393103844401067,0.5,1187,0.9655159279480472,0.0018890467313550374,7.958250880270995e-4,-0.0027871447734091996,-1.1000000000000014,0.30000000000000004,6424,-0.00987929894050199,8.585908093435395e-4,-1,-4919.688293521991,2.200000000000003,0.3999999999999999,0.06000000000000005,0.15129537126824477,-0.3685368458280953,-0.3685368458280953,0.00129950937378971
01097,AL,2016,0.560840725899,0.610448241234,0.3206491470337,0.9204314216045149,0.00646786531621635,"Mobile County, Alabama",0.586458263024424,0.356769904251319,0.0199331784126739,0.00802244742500651,56.9,0.6,175077,3.5,59943.7,65.6,166160.833333333,65,1.8,2.58,0.236658158044956,37.4,414836,24.8,337.431141942867,2.796635165833712,-0.271143555641,-0.00428298115729997,-0.3685368458280953,-1,1957.1811998310004,-0.10000000000000142,0.02663628303361898,-0.004800231445889924,0.1999999999999993,-287,-0.2334482487960372,0.003732370797378981,-7.73937309654197e-4,0.002378337125167669,-0.10000000000000142,-1,3883,-0.016584414616553578,0.00129950937378971,30.799999999999997,33158.02598225599,-3,0.40000000000000013,-0.04999999999999982,-0.1608437314112403,0.19325221280706462,0.19325221280706462,-0.0036307097858275295
01101,AL,2014,0.843304157257,0.980000019073,0.4282385110855,0.9254786509653128,0.01089481695105343,"Montgomery County, Alabama",0.384408614035165,0.566672119333831,0.0260269067019174,0.00158716825309807,63.1,0.7,100116,6.1,57593.2277144064,41.6,69338.8128432615,63,1.4,2.46,0.30426267281106,35.7,226189,20.2,288.400907439227,3.165172011661807,0.398845106363,-0.09546071290969999,-0.009548360142995538,0.8999999999999995,-2892.8658206693,0.8000000000000043,-0.01407310910209697,-0.015832419013336985,-0.5,-3655,-4.6602854988109925,0.02185911573138799,0.004986548894012902,-8.9712544175583e-4,1.8999999999999986,0.19999999999999996,1035,-0.023656909156966388,0.00335972304353981,1.2000000000000028,-6413.724983423497,-1.9000000000000057,-0.8000000000000003,-0.040000000000000036,NA,-0.3685368458280953,-0.3685368458280953,-0.00736114341116142
