state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_lag,d_percent_pt_lag
DE,2016,10001,-0.10724567311720967,-0.03438319535679435,1.3000000000000003,-10913.147565412597,-4.700000000000003,1.7000000000000028,0.03349876071621702,-0.05125707617850905,0.029959884264395997,-0.0027023509794256995,-3.262561338274097e-4,-71188.1,77369.9,40.7,198936.3444418644,-4.099999999999994,0.2999999999999998,-0.03000000000000025,1.1000000000000014,19412,33.10741161182301,-0.02185572764056598,0.0039908108201880295,DEMOCRAT,REPUBLICAN,FALSE,0.4470763291241052,-0.1468897561881754,NA,NA
DE,2016,10003,-0.04209060693021682,-0.39743427306342305,-1.9,3015.9582026713033,-2.1999999999999957,1.5,0.011121879551003022,-0.013717135123448965,0.009870521013983002,0.007763493251882796,0.0016467137080387602,0.09999999999999998,6719,35.10000000000001,141984.78731126597,-0.6000000000000085,-0.8000000000000003,0.040000000000000036,0.29999999999999716,10911,25.59551333517993,0.012155572726531672,-7.996793413014153e-4,DEMOCRAT,DEMOCRAT,TRUE,0.6209016315346182,-0.04570955447821462,0.3630510777066287,-0.019945583254264675
DE,2016,10005,-0.09074483254236376,-0.03438319535679435,-2.6999999999999997,6377.95068702579,-4.799999999999997,7,0.057655389916383026,0.02502018222233393,-0.011045358234828995,0.0013680477336511995,0.00276008617579511,-83054.3,96441.1,55.699999999999996,249448.5551168908,0.6000000000000085,-1.1,0.14000000000000012,2.8000000000000007,32215,34.414483876085,-0.0031612866701875575,0.00778911650546681,DEMOCRAT,REPUBLICAN,FALSE,0.3710380348652932,-0.13381196800312667,NA,NA
DC,2016,11001,-4.929239818736164e-4,-0.41753635569817726,-2.3,7740.690606852499,0.29999999999999716,0.19999999999999574,0.038667519784180926,0.010640115717636012,-0.024761187223236003,0.004241918804563899,-6.289629201209801e-4,0,37840,-19.299999999999997,603323.1387921029,1.3999999999999986,0,0.05999999999999961,0.9000000000000021,48847,798.9570129335989,-0.016015270842964502,-0.025837410794634197,DEMOCRAT,DEMOCRAT,TRUE,0.9086382152999988,0.031415245601047914,0.4619639929435242,0.02858770777272246
FL,2016,12001,0.010904260863620063,-0.3918156885981521,-1.6,2290.023896631901,-1.1000000000000014,0.8000000000000007,-0.007853793895670036,-0.004775223147745922,0.003078815011101993,0.011757191401657804,0.0013425863827531402,0.20000000000000007,5977,7.800000000000004,161625.9698025555,-5.800000000000004,0.10000000000000009,0.08000000000000007,2.3000000000000007,12079,13.803723912577993,-2.3731064690046821e-4,7.233653818209604e-4,DEMOCRAT,DEMOCRAT,TRUE,0.5897130768213672,0.05186871729938497,0.21603075800990412,0.006555701738050729
FL,2016,12009,-0.05047689952791756,-0.3918156885981521,-4.3999999999999995,3840.8814750290985,-4,1,0.024817759976280995,-0.008437934822594029,-0.002065036580076604,0.002022069757014199,7.142813629065032e-5,0.20000000000000007,17977,45.199999999999996,12395.993757259013,1,-0.10000000000000009,0.06000000000000005,1.1999999999999993,31823,31.339889799214006,-0.0049591253346448205,-0.0026993672103117396,DEMOCRAT,DEMOCRAT,TRUE,0.3802326911346075,-0.07037380798475212,0.21603075800990412,0.0033481648367738597
FL,2016,12011,-0.006908015179202254,-0.3918156885981521,-4.2,2835.1754936120997,-1.7999999999999972,0.29999999999999716,0.009888296447381983,-0.01930561044338297,0.013261003658085968,0.003221137365021401,0.00113790102221415,0,85561,26.6,-274122.2727932631,2.3000000000000043,0.10000000000000009,0.06999999999999984,1.0999999999999979,94495,78.27859121387996,0.0038915712139424574,-0.0026342068723932133,DEMOCRAT,DEMOCRAT,TRUE,0.6650872467248672,0.0021352696033994367,0.21603075800990412,0.0028432708233805427
FL,2016,12021,0.010957717902298159,-0.3918156885981521,-2.5999999999999996,6093.830168408895,-1.2000000000000028,2.299999999999997,0.029109191728386996,-0.003667498243946965,0.00655840607040141,-7.443681100211992e-4,7.696192972485999e-5,0,19411,46.7,342470.775261324,-0.09999999999999432,0,-0.06000000000000005,0.10000000000000142,32709,16.367079554959986,0.02373981773237821,-0.00791406406710967,DEMOCRAT,DEMOCRAT,TRUE,0.35766354976023046,0.04098595961639018,0.21603075800990412,0.01583387189509876
FL,2016,12031,-0.0022913846832048335,-0.3918156885981521,-4.1,8600.168699187001,0,0.30000000000000426,0.029889744035304977,-0.014555150486003976,0.006032784019755044,1.3702780555550215e-4,-6.314099493952203e-4,-0.2,47993,16.700000000000003,-52026.28121370499,0.29999999999999716,0.5,-0.06000000000000005,1.1999999999999993,46653,61.18565156313002,-0.022567375234224252,0.0067046826617115605,DEMOCRAT,DEMOCRAT,TRUE,0.47540184194409457,0.022332352856946118,0.21603075800990412,0.0014214837807683782
FL,2016,12033,-0.014942852603780976,-0.3918156885981521,-2.6,-2961.1946573750974,-1.6000000000000014,-0.20000000000000284,0.044741047728435984,-0.006866079609071929,0.01083059852958801,8.413321463827013e-4,0.00103189859379821,-0.5000000000000001,9537,20.6,78918.5881242738,-3.1000000000000014,-0.20000000000000018,0.009999999999999787,-0.40000000000000213,12472,18.994074002624018,-0.02043405139636767,-3.3862984566689416e-5,DEMOCRAT,DEMOCRAT,TRUE,0.37687005227292103,-3.6370539980040695e-5,0.21603075800990412,5.066753499387202e-4
