state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_future,d_percent_pt_future
DE,2012,10003,-0.0460442138764684,0.3630510777066287,1.0999999999999996,-7307.087694465707,-2.1000000000000085,-0.7999999999999972,0.01844085345103602,-0.04256337754626505,0.012732722555858,0.007981992312431602,-5.934601877145601e-4,-266731.5,263772.9,4.100000000000001,-18051.507198245003,-0.7999999999999972,0.10000000000000009,0.009999999999999787,0.40000000000000213,16435,38.553960376099894,0.00789395279692362,-0.019945583254264675,DEMOCRAT,REPUBLICAN,FALSE,0.662992238464835,-0.06554699911282813,-0.39743427306342305,-7.996793413014153e-4
DC,2012,11001,-0.025543286058447245,0.4619639929435242,1.8999999999999995,6573.476951980105,1,-1.1999999999999957,0.04728126942060501,0.021451148280664967,-0.039049699694523043,6.206999921726034e-4,-1.665810480830799e-4,-306365.9,326940.9,1.8999999999999986,-6987.450121255999,-0.6999999999999957,-0.5,-0.009999999999999787,0.3999999999999986,40490,662.26727237464,-0.041140287991901336,0.02858770777272246,DEMOCRAT,REPUBLICAN,FALSE,0.9091311392818724,-0.022897297795886895,-0.41753635569817726,-0.025837410794634197
FL,2012,12001,-0.03469192894939832,0.21603075800990412,2.2,-5878.415822626601,-4,0,-0.04889875716269099,-0.03669262583878097,0.009604773448480014,0.006207683562383902,0.0013672765768875498,-120899.3,113897.2,0.7999999999999972,-10376.0713082062,1.1000000000000014,-0.20000000000000018,0.23999999999999977,-0.3000000000000007,10053,11.488437494259017,-0.0026907417754418184,0.006555701738050729,DEMOCRAT,REPUBLICAN,FALSE,0.5788088159577471,-0.0419424553009497,-0.3918156885981521,7.233653818209604e-4
FL,2012,12009,-0.021838358159641358,0.21603075800990412,3.1999999999999993,-8945.753545008898,-2.1000000000000014,2.1999999999999957,0.011548264947662035,-0.009609001320719068,0.0038091669201305994,0.0015078865317419005,9.4388722035703e-4,-240426.4,223931.6,2.400000000000002,-21334.581386923004,-1.2999999999999972,-0.6000000000000001,0.06000000000000005,-0.8000000000000007,10786,10.622255958718938,-0.005380176800619529,0.0033481648367738597,DEMOCRAT,REPUBLICAN,FALSE,0.43070959066252507,-0.023033604250207076,-0.3918156885981521,-0.0026993672103117396
FL,2012,12011,-0.004078693776480624,0.21603075800990412,2.8000000000000007,-7203.2902907943935,0.10000000000000853,-0.10000000000000142,0.0016901731571979939,-0.03331431874669499,0.025039463486420027,0.0031363249588340983,1.1658547100460012e-4,-862542.7,870098.9,4.799999999999997,-89555.11447643791,0.10000000000000142,0.30000000000000004,0.1299999999999999,0.7000000000000028,63903,52.936523777349976,-0.010706325243897363,0.0028432708233805427,DEMOCRAT,REPUBLICAN,FALSE,0.6719952619040694,0.0019524902228510443,-0.3918156885981521,-0.0026342068723932133
FL,2012,12021,-0.04493994102428306,0.21603075800990412,0.5999999999999996,-15206.561400023696,-3.200000000000003,3,0.0012954592671429732,-0.011259176516166036,0.011785212674150995,0.0052712446814662806,0.0014873906266243601,-135511.9,135715.9,2.900000000000002,-6470.142713716006,-1.6000000000000085,0.10000000000000009,-0.020000000000000018,2.099999999999998,17169,8.591103026051996,-0.02798808249422491,0.01583387189509876,DEMOCRAT,REPUBLICAN,FALSE,0.3467058318579323,-0.07572172709473163,-0.3918156885981521,-0.00791406406710967
FL,2012,12031,-0.01591728518116753,0.21603075800990412,3,-14539.015985918704,-4.400000000000006,-0.8000000000000043,0.028623005637119003,-0.012506611649791943,-0.00424013534526102,0.006744243493330297,-9.169927277683097e-4,-418061.6,391864.1,4.100000000000001,-45143.27531594399,-1,0.09999999999999987,0.1299999999999999,-0.10000000000000142,28640,37.56150860113007,-0.013285028486075046,0.0014214837807683782,DEMOCRAT,REPUBLICAN,FALSE,0.4776932266272994,-0.017077977586859576,-0.3918156885981521,0.0067046826617115605
FL,2012,12033,-0.01632710431739043,0.21603075800990412,1,1068.889691436103,-0.7999999999999972,-0.5,-0.010998093649930013,-0.012690372454173038,-0.012842365068833989,0.0040361128411181,-2.009763363414966e-5,-129613.9,124244.8,9.700000000000003,-23757.776272594798,-1.7999999999999972,0.40000000000000013,0.020000000000000018,1.8000000000000007,-224,-0.3411379551459959,0.0018552339096903347,5.066753499387202e-4,DEMOCRAT,REPUBLICAN,FALSE,0.391812904876702,-0.01236055962785762,-0.3918156885981521,-3.3862984566689416e-5
FL,2012,12057,-0.011111593463829506,0.21603075800990412,2.5,-8980.790608396703,-1.6999999999999886,-0.7000000000000028,0.00608122386584703,-0.043259808740201966,0.00741811039144602,0.0049216229840859035,0.00115016664360171,-572820,588525.6,5.199999999999996,-41278.853467571025,-1.2999999999999972,-0.09999999999999964,0.08000000000000007,0.29999999999999716,96962,95.03950793604008,0.006252253974777022,-0.0029374224210531683,DEMOCRAT,REPUBLICAN,FALSE,0.528437452730298,-0.0043907301845185764,-0.3918156885981521,0.0018187955818552998
FL,2012,12071,-0.03796802319867493,0.21603075800990412,1.7999999999999998,-10738.4250745658,-3.3999999999999986,3.5,-0.018539530948936983,-0.002948278719500985,0.0067642380848682016,0.0037969214751926994,-0.0012349764637244998,-253273.1,252616,6.899999999999999,-38702.111614779016,0.10000000000000853,0.6000000000000001,0.20999999999999996,2.1999999999999993,52157,66.49420882657796,-0.033022053878301594,0.005842687858397529,DEMOCRAT,REPUBLICAN,FALSE,0.41386578300759674,-0.06169575215767338,-0.3918156885981521,-0.00860509645715008
