state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_lag,d_percent_pt_lag
FL,2016,12001,0.010904260863620063,-2.207241380339399,-1.6,2290.023896631901,-1.1000000000000014,0.8000000000000007,-0.007853793895670036,-0.004775223147745922,0.003078815011101993,0.011757191401657804,0.0013425863827531402,0.20000000000000007,5977,7.800000000000004,161625.9698025555,-5.800000000000004,0.10000000000000009,0.08000000000000007,2.3000000000000007,12079,13.803723912577993,-2.3731064690046821e-4,7.233653818209604e-4,DEMOCRAT,DEMOCRAT,TRUE,0.5897130768213672,0.05186871729938497,-0.014359046605776804,0.006555701738050729
FL,2016,12009,-0.05047689952791756,-2.207241380339399,-4.3999999999999995,3840.8814750290985,-4,1,0.024817759976280995,-0.008437934822594029,-0.002065036580076604,0.002022069757014199,7.142813629065032e-5,0.20000000000000007,17977,45.199999999999996,12395.993757259013,1,-0.10000000000000009,0.06000000000000005,1.1999999999999993,31823,31.339889799214006,-0.0049591253346448205,-0.0026993672103117396,DEMOCRAT,DEMOCRAT,TRUE,0.3802326911346075,-0.07037380798475212,-0.014359046605776804,0.0033481648367738597
FL,2016,12011,-0.006908015179202254,-2.207241380339399,-4.2,2835.1754936120997,-1.7999999999999972,0.29999999999999716,0.009888296447381983,-0.01930561044338297,0.013261003658085968,0.003221137365021401,0.00113790102221415,0,85561,26.6,-274122.2727932631,2.3000000000000043,0.10000000000000009,0.06999999999999984,1.0999999999999979,94495,78.27859121387996,0.0038915712139424574,-0.0026342068723932133,DEMOCRAT,DEMOCRAT,TRUE,0.6650872467248672,0.0021352696033994367,-0.014359046605776804,0.0028432708233805427
FL,2016,12021,0.010957717902298159,-2.207241380339399,-2.5999999999999996,6093.830168408895,-1.2000000000000028,2.299999999999997,0.029109191728386996,-0.003667498243946965,0.00655840607040141,-7.443681100211992e-4,7.696192972485999e-5,0,19411,46.7,342470.775261324,-0.09999999999999432,0,-0.06000000000000005,0.10000000000000142,32709,16.367079554959986,0.02373981773237821,-0.00791406406710967,DEMOCRAT,DEMOCRAT,TRUE,0.35766354976023046,0.04098595961639018,-0.014359046605776804,0.01583387189509876
FL,2016,12031,-0.0022913846832048335,-2.207241380339399,-4.1,8600.168699187001,0,0.30000000000000426,0.029889744035304977,-0.014555150486003976,0.006032784019755044,1.3702780555550215e-4,-6.314099493952203e-4,-0.2,47993,16.700000000000003,-52026.28121370499,0.29999999999999716,0.5,-0.06000000000000005,1.1999999999999993,46653,61.18565156313002,-0.022567375234224252,0.0067046826617115605,DEMOCRAT,DEMOCRAT,TRUE,0.47540184194409457,0.022332352856946118,-0.014359046605776804,0.0014214837807683782
FL,2016,12033,-0.014942852603780976,-2.207241380339399,-2.6,-2961.1946573750974,-1.6000000000000014,-0.20000000000000284,0.044741047728435984,-0.006866079609071929,0.01083059852958801,8.413321463827013e-4,0.00103189859379821,-0.5000000000000001,9537,20.6,78918.5881242738,-3.1000000000000014,-0.20000000000000018,0.009999999999999787,-0.40000000000000213,12472,18.994074002624018,-0.02043405139636767,-3.3862984566689416e-5,DEMOCRAT,DEMOCRAT,TRUE,0.37687005227292103,-3.6370539980040695e-5,-0.014359046605776804,5.066753499387202e-4
FL,2016,12057,-0.013268293007378529,-2.207241380339399,-3.1000000000000005,7818.009756097592,-0.10000000000000853,0.6000000000000014,0.02417540602774798,-0.019174845410849017,-7.402945734770183e-4,0.0053301694713438,2.5445637739891e-4,0.3999999999999999,82155,15,-123187.38530778201,0,-0.30000000000000027,0,1.6000000000000014,98492,96.53917220803987,-0.015841678603602083,0.0018187955818552998,DEMOCRAT,DEMOCRAT,TRUE,0.5151691597229194,0.0017178603841680462,-0.014359046605776804,-0.0029374224210531683
FL,2016,12069,-0.06780391182166456,-2.2216004269451757,-1,53.912720622407505,-0.5,1.7000000000000028,0.03037894962347601,-0.004527239592027943,0.018105937904068087,0.002877507018922403,0.00201744394133429,-123303.8,136067.6,53.8,73405.48807865,-1.4000000000000057,0.6000000000000001,0.040000000000000036,-0.5,28153,29.983571894768033,-0.007872096086099734,0.00190953381799292,DEMOCRAT,REPUBLICAN,FALSE,0.36863347842921,-0.09571398905160769,NA,NA
FL,2016,12071,-0.031205406805158153,-2.207241380339399,-3.5,5942.456496806095,-0.7999999999999972,1.7000000000000028,0.04058159317556201,0.004658766754601973,0.0013185485873912078,-0.00211254660641,-8.111057787816003e-4,-0.09999999999999998,49242,38.300000000000004,47669.488240417995,-1.2000000000000028,-0.3999999999999999,0.1200000000000001,-0.5999999999999979,77043,98.22101214843701,0.008749244330032435,-0.00860509645715008,DEMOCRAT,DEMOCRAT,TRUE,0.3826603762024386,-0.038830435290778814,-0.014359046605776804,0.005842687858397529
FL,2016,12073,-0.007414706849244723,-2.207241380339399,-3.3,3355.073032810702,-3.1000000000000085,0.6000000000000014,0.02518473044085301,-0.006015336050055997,-0.001547624489436017,0.0036308590165296042,-5.368328603995798e-4,0,2078,5.799999999999997,178331.271051103,0.5,0.9,-0.040000000000000036,0.10000000000000142,4053,6.077695134493979,-7.064022948327642e-4,-0.0068529001273195615,DEMOCRAT,DEMOCRAT,TRUE,0.6051849709462835,0.014970605125326775,-0.014359046605776804,0.005770337281495902
